group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Communication Services | Advertising Agencies,39,1.152200151530354,3.1001455104458553,100.0,99.0,1,A
Consumer Cyclical | Internet Retail,37,0.01845810535084111,0.19057710708781134,65.06849315068493,64.41780821917808,52,C
Consumer Cyclical | Home Improvement Retail,6,0.10279275713594016,0.187166950881272,64.38356164383562,63.73972602739726,53,C
Communication Services | Telecom Services,53,0.09667212606186319,0.1856974320548117,63.6986301369863,63.06164383561644,54,C
Financial Services | Banks - Regional,365,0.12729452186986787,0.1792943423807607,63.013698630136986,62.38356164383561,55,C
Healthcare | Drug Manufacturers - General,21,0.09449358652034381,0.1702852944753573,62.328767123287676,61.7054794520548,56,C
Consumer Cyclical | Apparel Retail,30,0.22501573594237495,0.1653437055549996,61.64383561643836,61.02739726027397,57,C
Consumer Cyclical | Leisure,31,-0.02352512892482023,0.1579124883381919,60.95890410958904,60.34931506849315,58,C
Energy | Oil & Gas Integrated,15,0.0937287832147747,0.156285181830255,60.273972602739725,59.671232876712324,59,C
Utilities | Utilities - Regulated Electric,42,0.10066534773848121,0.155679331884702,59.589041095890416,58.993150684931514,60,C
Communication Services | Internet Content & Information,69,-0.05073012154768729,0.15363870743651606,58.9041095890411,58.31506849315069,61,C
Industrials | Rental & Leasing Services,19,0.054027064880052655,0.1527147700681165,58.21917808219178,57.63698630136986,62,C
Utilities | Utilities - Regulated Water,13,0.1679941662542005,0.15081514921117045,57.534246575342465,56.958904109589035,63,C
Energy | Oil & Gas Midstream,48,0.12352805186654832,0.14947518457425918,56.849315068493155,56.280821917808225,64,C
Basic Materials | Specialty Chemicals,54,0.09908928677891352,0.14888916837166694,56.16438356164384,55.6027397260274,65,C
"Consumer Cyclical | Furnishings, Fixtures & Appliances",32,0.023885981388982867,0.1468024202947444,55.47945205479452,54.92465753424658,66,C
Utilities | Utilities - Regulated Gas,15,0.11822841132140531,0.1371582066207903,54.794520547945204,54.24657534246575,67,C
Industrials | Industrial Distribution,20,0.0027500133316829324,0.13057780970987892,54.109589041095894,53.56849315068494,68,C
Unknown | Unknown,299,0.08052757951378743,0.12391910465840841,53.42465753424658,52.89041095890411,69,C
Industrials | Marine Shipping,37,0.07537505965922042,0.12379988706256272,52.73972602739726,52.21232876712329,70,C
Financial Services | Insurance - Life,21,0.1491301380505722,0.11471035892577335,52.054794520547944,51.534246575342465,71,C
Real Estate | Real Estate Services,46,0.025011313915734742,0.11460153374522022,51.369863013698634,50.85616438356165,72,C
Real Estate | REIT - Hotel & Motel,18,0.090351801545112,0.11427734891188839,50.68493150684932,50.178082191780824,73,C
Consumer Defensive | Beverages - Brewers,7,0.06640130189833157,0.10811349384007715,50.0,49.5,74,C
Financial Services | Asset Management,480,0.05442649515085054,0.10427553763030663,49.31506849315068,48.821917808219176,75,C
Industrials | Waste Management,19,-0.025986718694357622,0.10225732793877965,48.63013698630137,48.14383561643836,76,C
Basic Materials | Chemicals,15,0.10593172853284624,0.10093364112287864,47.94520547945205,47.46575342465753,77,C
Financial Services | Insurance - Diversified,10,0.057485217296200944,0.08563720319023228,47.26027397260274,46.78767123287671,78,C
Consumer Cyclical | Footwear & Accessories,14,0.050273583942089105,0.08234335951760803,46.57534246575342,46.10958904109589,79,C
Basic Materials | Building Materials,14,-0.017190117679097536,0.08111671172444748,45.89041095890411,45.43150684931507,80,C
Consumer Cyclical | Recreational Vehicles,15,0.04437517563802829,0.0809269510826194,45.20547945205479,44.75342465753425,81,C
Financial Services | Insurance - Property & Casualty,44,0.03567974308552832,0.08002107796770606,44.52054794520548,44.07534246575342,82,C
Consumer Cyclical | Packaging & Containers,23,0.0023064344015435493,0.07850534095615172,43.83561643835616,43.3972602739726,83,C
Real Estate | REIT - Mortgage,48,0.031601665529862405,0.07506195448250826,43.15068493150685,42.71917808219178,84,C
Industrials | Pollution & Treatment Controls,16,-0.13770659758988935,0.0704007659128789,42.465753424657535,42.04109589041096,85,C
Communication Services | Broadcasting,15,-0.051624601450558805,0.07005951713589968,41.78082191780822,41.36301369863014,86,C
Financial Services | Shell Companies,278,0.07075863677020827,0.06691191386966153,41.0958904109589,40.68493150684931,87,C
Real Estate | REIT - Industrial,17,0.059195431021396,0.06653158182424555,40.41095890410959,40.00684931506849,88,C
